URL Safe Schema Name,ACM Classification Code,Astronautics Vocabulary,Australian Educational Vocabulary,BabelNet,BIBFRAME,Bibliotheque Nationale de France,BNCF Thesaurus,CiTO,COAR,CodeMeta,Common Procurement Vocabulary,Cultureel Woordenboek,DBpedia,DCAT,DCMI Metadata Terms,Dictionary of Algorithms and Data Structures,Elhuyar ZTH,Encyclopedia Britannica Online,Encyclopedia Universalis,EuroVoc,FAST,File Format Wiki,Freebase,Getty AAT,GND,Gran Enciclopedia Catalana,Great Russian Encyclopedia Online,Global Research Identifier Database,GS1 Global Product Classification Brick Code,IdRef ID,Information Artifact Ontology,IUPAC Gold Book,ITU ISO IEC Object Identifier,Joconde,KBpedia,Library of Congress Subject Headings,MathWorld,MeSH Descriptor,Microsoft Academic,MIL-STD-2525 Symbol Identification Code,NASA Thesaurus,National Diet Library,NicoNicoPedia,NIST CODATA,Nomenclature for Museum Cataloging,OmegaWiki Defined Meaning,OpenMath Content Dictionary,OpenStreetMap,Princeton WordNet,PRONOM,PSH,QUDT,Research Organization Registry,Schema.org,SPAR FaBiO,Store Norske Leksikon,STW Thesaurus for Economics,TDKIV,Techopedia,Treccani,UCUM Code,UNESCO Thesaurus ID,Unified Astronomy Thesaurus,Uniform Resource Identifier Scheme,UNSPSC Code,U.S. National Archives,VIAF,WikiData Item,WikiData Property,Wolfram Language Entity Type,Wolfram Language Quantity,Wolfram Language Unit Code,WordLift,World of Physics,YSO
Schema Name,ACM Classification Code,Astronautics Vocabulary,Australian Educational Vocabulary,BabelNet,BIBFRAME,Bibliothèque Nationale de France,BNCF Thesaurus,CiTO,COAR,CodeMeta,Common Procurement Vocabulary,Cultureel Woordenboek,DBpedia,DCAT,DCMI Metadata Terms,Dictionary of Algorithms and Data Structures,Elhuyar ZTH,Encyclopædia Britannica Online,Encyclopædia Universalis,EuroVoc,FAST,File Format Wiki,Freebase,Getty AAT,GND,Gran Enciclopèdia Catalana,Great Russian Encyclopedia Online,Global Research Identifier Database,GS1 Global Product Classification Brick Code,IdRef ID,Information Artifact Ontology,IUPAC Gold Book,ITU/ISO/IEC Object Identifier,Joconde,KBpedia,Library of Congress Subject Headings,MathWorld,MeSH Descriptor,Microsoft Academic,MIL-STD-2525 Symbol Identification Code,NASA Thesaurus,National Diet Library,NicoNicoPedia,NIST CODATA,Nomenclature for Museum Cataloging,OmegaWiki Defined Meaning,OpenMath Content Dictionary,OpenStreetMap,Princeton WordNet,PRONOM,PSH,QUDT,Research Organization Registry,Schema.org,SPAR FaBiO,Store Norske Leksikon,STW Thesaurus for Economics,TDKIV,Techopedia,Treccani,UCUM Code,UNESCO Thesaurus ID,Unified Astronomy Thesaurus,Uniform Resource Identifier Scheme,UNSPSC Code,U.S. National Archives,VIAF,WikiData Item,WikiData Property,Wolfram Language Entity Type,Wolfram Language Quantity,Wolfram Language Unit Code,WordLift,World of Physics,YSO
Schema Language,en,en,en,en,en,fr,en,en,en,en,en,nl,en,en,en,en,eu,en,en,en,en,en,en,en,en,ca,en,en,en,en,en,en,en,fr,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,nb,en,en,en,it,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en
adhesion,,,http://vocabulary.curriculum.edu.au/scot/643.html,,,,,,,,,https://www.cultureelwoordenboek.nl/natuurkunde-scheikunde-en-sterrenkunde/adhesie,,,,,,https://www.britannica.com/science/adhesion-physics,,,,,https://freebase.toolforge.org/m/03fplb,,https://d-nb.info/gnd/4000493-4,,https://bigenc.ru/text/1800271,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/84416704,,,,,,,,,,,,https://psh.techlib.cz/skos/PSH2975,,,,,https://snl.no/adhesjon,,,,,,,,,,,,https://www.wikidata.org/wiki/Q188666,,,,,,http://scienceworld.wolfram.com/physics/Adhesion.html,
adhesiveTape,,,,https://babelnet.org/synset?word=bn:00001370n,,,,,,,,,,,,,,,,,,,https://freebase.toolforge.org/m/03m3vtv,http://vocab.getty.edu/page/aat/300310136,,https://www.enciclopedia.cat/EC-GEC-0168551.xml,,,,,,,,,,,,,,,,https://id.ndl.go.jp/auth/ndlna/00570847,,,https://www.nomenclature.info/nom/6613,http://www.omegawiki.org/DefinedMeaning:1310715,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q320441,,,,,,,
aerobraking,,,,,,,,,,,,,,,,,https://zthiztegia.elhuyar.eus/kontzeptua/137671,https://www.britannica.com/topic/aerobraking,,,,,https://freebase.toolforge.org/m/011h94,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/2591305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q16353,,,,,,,
aerocapture,,,,,,,,,,,,,,,,,,,,,,,https://freebase.toolforge.org/m/06mp9v,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/2777799566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1746607,,,,,,,
aeroshell,,,,,,,,,,,,,,,,,,,,,,,https://freebase.toolforge.org/m/02pjq_l,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/2776497996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q16350,,,,,,,
aerospace,,https://www.asc-csa.gc.ca/eng/resources/vocabulary/view.asp?id=3,,,,,,,,,,,,,,,,,,,,,https://freebase.toolforge.org/m/0147gr,,,,,,,,,,,,https://kbpedia.org/knowledge-graph/reference-concept/?uri=Aerospace,,,,https://academic.microsoft.com/v2/detail/167740415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q2876213,,,,,,,
affiliation,,,,,,,,,,https://codemeta.github.io/terms/affiliation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://schema.org/affiliation,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q46135267,https://www.wikidata.org/wiki/Property:P1416,,,,,,
airDensity,,,http://vocabulary.curriculum.edu.au/scot/892.html,,,,,,,,,,,,,,,,,,,,https://freebase.toolforge.org/m/02jm7j,,,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/111538826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q1511415,,,,,,,
albedo,,,http://vocabulary.curriculum.edu.au/scot/15608.html,,,https://catalogue.bnf.fr/ark:/12148/cb120470766,,,,,,,,,,,,https://www.britannica.com/science/albedo,,,https://experimental.worldcat.org/fast/804177/,,https://freebase.toolforge.org/m/0gx0,,https://d-nb.info/gnd/4141802-5,,,,,,,,,,,https://id.loc.gov/authorities/sh85003217,,,https://academic.microsoft.com/v2/detail/90112936,,,,,,,http://www.omegawiki.org/DefinedMeaning:920458,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q101038,https://www.wikidata.org/wiki/Property:P4501,,Albedo,,,,http://www.yso.fi/onto/yso/p27997
algorithm,,,http://vocabulary.curriculum.edu.au/scot/16512.html,https://babelnet.org/synset?word=bn:00002705n,,https://catalogue.bnf.fr/ark:/12148/cb119358199,https://thes.bncf.firenze.sbn.it/termine.php?id=21026,,,,,https://www.cultureelwoordenboek.nl/wiskunde/algoritme,,,,https://xlinux.nist.gov/dads/HTML/algorithm.html,,https://www.britannica.com/topic/algorithm,,,,,https://freebase.toolforge.org/m/0jpv,http://vocab.getty.edu/page/aat/300065585,https://d-nb.info/gnd/4001183-5,https://www.enciclopedia.cat/EC-GEC-0076707.xml,https://bigenc.ru/text/1810305,,,,http://purl.obolibrary.org/obo/IAO_0000064,,,,,https://id.loc.gov/authorities/sh85003487,http://mathworld.wolfram.com/Algorithm.html,https://meshb.nlm.nih.gov/#/record/ui?ui=D000465,https://academic.microsoft.com/v2/detail/11413529,,,https://id.ndl.go.jp/auth/ndlna/00560337,,,,http://www.omegawiki.org/DefinedMeaning:359598,,,,,,,,,http://purl.org/spar/fabio/Algorithm,,,,,http://www.treccani.it/enciclopedia/algoritmo,,http://vocabularies.unesco.org/thesaurus/concept2024,,,,,,https://www.wikidata.org/wiki/Q8366,,,,,,,http://www.yso.fi/onto/yso/p14524
aliasing,,,,,,,,,,,,,,,,,,,,,,,https://freebase.toolforge.org/m/013q28,,https://d-nb.info/gnd/4451366-5,,,,,,,,,,,,,,https://academic.microsoft.com/v2/detail/4069607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q868732,,,,,,,
